,country,empty_slots,extra.address,extra.bike_uids,extra.last_updated,extra.number,extra.renting,extra.returning,extra.slots,extra.uid,free_bikes,id,latitude,longitude,name,network_id,timestamp
0,US,2,Basalt,,1572297881.0,,1.0,1.0,,1482,3.0,de99fa376a6ff38db656affe33d40e52,39.380066,-107.081968,Evans Rd,we-cycle,2020-02-19T23:57:19.247000Z
1,US,8,Aspen,,1572470181.0,,0.0,1.0,,1480,0.0,c7fddca9c7f33987a59095d9fa1dba04,39.1916,-106.823,Hotel Aspen,we-cycle,2020-02-19T23:57:19.250000Z
2,US,6,Basalt,,1572384718.0,,0.0,1.0,,1485,0.0,edd6bdd575f305389a942010c19b3fd0,39.359289,-107.023232,Roaring Fork Club Employee Housing,we-cycle,2020-02-19T23:57:19.256000Z
3,US,7,Aspen,,1572464489.0,,0.0,1.0,,1443,0.0,b7130e6c2093f16d6462e6c778db62f4,39.18867,-106.850827,Aspen Recreation Center,we-cycle,2020-02-19T23:57:19.257000Z
4,US,10,Basalt,,1572378108.0,,0.0,1.0,,1421,1.0,041409c38a1cc57e8a0c49b5ef8458fe,39.394798,-107.0956,Sopris View,we-cycle,2020-02-19T23:57:19.258000Z
5,US,7,Basalt,,1572380011.0,,0.0,1.0,,1420,0.0,63cf805d373b399ae1daa391373d7a42,39.387865,-107.0838,Alpine Bank Willits,we-cycle,2020-02-19T23:57:19.259000Z
6,US,9,Basalt,,1572371550.0,,0.0,1.0,,1423,0.0,7451acee70f324aebb2d66ccb05e4837,39.368837,-107.0378,Rocky Mountain Institute,we-cycle,2020-02-19T23:57:19.266000Z
7,US,7,Basalt,,1572367040.0,,0.0,1.0,,1422,0.0,1e3b2f47685629418d9c29805f861da4,39.362536,-107.027038,Elk | Wren,we-cycle,2020-02-19T23:57:19.267000Z
8,US,9,Basalt,,1572382430.0,,0.0,1.0,,1424,0.0,0eb48af49c4e03dd25a79d2745b28b9c,39.377761,-107.078367,Lakeside Townhomes,we-cycle,2020-02-19T23:57:19.268000Z
9,US,7,Basalt,,1572374126.0,,0.0,1.0,,1427,0.0,9d31b5b79389b478054e17594a17c7fb,39.3996,-107.0988,Blue Lake,we-cycle,2020-02-19T23:57:19.269000Z
