,Country,Time,Happiness Score,"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population growth (annual %),Rural population (% of total population),GDP (current US$),GDP per capita (current US$),Population aged 14 years or younger ,Population aged 15-24 years ,Population aged 25-64 years ,Population aged 65 years or older ,"Prevalence of HIV, total (% of population ages 15-49)",Poverty headcount ratio at $1.90 a day (PPP) (% of population),Total population 
0,Australia,2015,7.284,1.814,82.4,3.2,1.4392200000000002,14.299000000000001,1349034029453.37,56644.03396,4520.213,3172.395,12684.813999999998,3555.08,0.1,0.0,23932.502
1,Australia,2016,7.313,1.7519999999999998,82.44878,3.1,1.5619399999999999,14.2,1208039015868.39,49937.73139,4598.344,3155.24,12835.482,3673.6459999999997,0.1,0.0,24262.712000000003
2,Australia,2017,7.28399991989136,1.765,82.49756,3.0,1.68452,14.095999999999998,1323421072479.07,53793.537260000005,4687.067,3135.675,12974.858,3787.02,0.1,0.0,24584.62
3,Austria,2015,7.2,1.49,81.19024,3.0,1.12099,42.285,381805676697.70703,44176.67174,1225.425,1008.434,4809.7,1635.101,0.1,0.7,8678.66
4,Austria,2016,7.119,1.53,81.64146,3.0,1.0814,42.095,394052818287.78796,45103.32981,1239.55,1001.79,4851.920999999999,1654.04,0.1,0.0,8747.301
5,Austria,2017,7.00600004196167,1.53,81.64146,2.9,0.69462,41.906000000000006,416835975862.193,47380.829639999996,1255.153,993.08,4899.717000000001,1671.951,0.1,0.0,8819.901
6,Belgium,2015,6.937,1.7,80.99268000000001,3.2,0.57945,2.124,455837758493.34796,40431.95262,1919.4189999999999,1325.25,5995.378000000001,2047.8929999999998,0.0,0.0,11287.94
7,Belgium,2016,6.928999999999999,1.68,81.43902,3.1,0.5063,2.081,469738715754.105,41454.52493,1932.148,1319.999,6016.255,2086.018,0.0,0.0,11354.42
8,Belgium,2017,6.89099979400635,1.68,81.43902,3.1,0.44881000000000004,2.039,494763551890.776,43467.4459,1945.523,1313.102,6038.868,2122.255,0.0,0.0,11419.748
9,Canada,2015,7.4270000000000005,1.5630000000000002,81.9,4.7,0.8327700000000001,18.741,1552521512853.35,43327.17364,5761.1990000000005,4648.731,19833.155,5783.590999999999,0.0,0.0,36026.676
10,Canada,2016,7.404,1.5433,82.30051,4.6,1.19865,18.7,1526953791566.99,42105.90006,5784.173000000001,4620.4490000000005,19991.505,5986.816999999999,0.0,0.0,36382.943999999996
