,Country,Happiness Score,Year
0,Switzerland,7.587000000000001,2015
1,Iceland,7.561,2015
2,Denmark,7.527,2015
3,Norway,7.522,2015
4,Canada,7.4270000000000005,2015
5,Finland,7.406000000000001,2015
6,Netherlands,7.377999999999999,2015
7,Sweden,7.364,2015
8,New Zealand,7.2860000000000005,2015
9,Australia,7.284,2015
10,Israel,7.278,2015
11,Costa Rica,7.226,2015
12,Austria,7.2,2015
13,Mexico,7.187,2015
14,United States,7.119,2015
15,Brazil,6.983,2015
16,Luxembourg,6.946000000000001,2015
17,Ireland,6.94,2015
18,Belgium,6.937,2015
19,United Arab Emirates,6.901,2015
20,United Kingdom,6.867000000000001,2015
21,Oman,6.853,2015
22,Venezuela,6.81,2015
23,Singapore,6.797999999999999,2015
24,Panama,6.7860000000000005,2015
25,Germany,6.75,2015
26,Chile,6.67,2015
27,Qatar,6.611000000000001,2015
28,France,6.575,2015
29,Argentina,6.574,2015
30,Czech Republic,6.505,2015
31,Uruguay,6.485,2015
32,Colombia,6.477,2015
33,Thailand,6.455,2015
34,Saudi Arabia,6.4110000000000005,2015
35,Spain,6.329,2015
36,Malta,6.3020000000000005,2015
37,Taiwan,6.297999999999999,2015
38,Kuwait,6.295,2015
39,Suriname,6.269,2015
40,Trinidad and Tobago,6.167999999999999,2015
41,El Salvador,6.13,2015
42,Guatemala,6.122999999999999,2015
43,Uzbekistan,6.002999999999999,2015
44,Slovakia,5.995,2015
45,Japan,5.987,2015
46,South Korea,5.984,2015
47,Ecuador,5.975,2015
48,Bahrain,5.96,2015
49,Italy,5.9479999999999995,2015
50,Bolivia,5.89,2015
51,Moldova,5.888999999999999,2015
52,Paraguay,5.877999999999999,2015
53,Kazakhstan,5.855,2015
54,Slovenia,5.848,2015
55,Lithuania,5.832999999999999,2015
56,Nicaragua,5.827999999999999,2015
57,Peru,5.824,2015
58,Belarus,5.813,2015
59,Poland,5.791,2015
60,Malaysia,5.77,2015
61,Croatia,5.7589999999999995,2015
62,Libya,5.754,2015
63,Russia,5.716,2015
64,Jamaica,5.709,2015
65,North Cyprus,5.695,2015
66,Cyprus,5.689,2015
67,Algeria,5.605,2015
68,Kosovo,5.5889999999999995,2015
69,Turkmenistan,5.547999999999999,2015
70,Mauritius,5.477,2015
71,Hong Kong,5.474,2015
72,Estonia,5.428999999999999,2015
73,Indonesia,5.399,2015
74,Vietnam,5.36,2015
75,Turkey,5.332000000000001,2015
76,Kyrgyzstan,5.2860000000000005,2015
77,Nigeria,5.268,2015
78,Bhutan,5.252999999999999,2015
79,Azerbaijan,5.212000000000001,2015
80,Pakistan,5.194,2015
81,Jordan,5.192,2015
82,Montenegro,5.192,2015
83,China,5.14,2015
84,Zambia,5.129,2015
85,Romania,5.124,2015
86,Serbia,5.122999999999999,2015
87,Portugal,5.102,2015
88,Latvia,5.098,2015
89,Philippines,5.073,2015
90,Somaliland region,5.0569999999999995,2015
91,Morocco,5.013,2015
92,Macedonia,5.007,2015
93,Mozambique,4.971,2015
94,Albania,4.959,2015
95,Bosnia and Herzegovina,4.949,2015
96,Lesotho,4.898,2015
97,Dominican Republic,4.885,2015
98,Laos,4.876,2015
99,Mongolia,4.874,2015
100,Swaziland,4.867,2015
101,Greece,4.857,2015
102,Lebanon,4.8389999999999995,2015
103,Hungary,4.8,2015
104,Honduras,4.788,2015
105,Tajikistan,4.7860000000000005,2015
106,Tunisia,4.739,2015
107,Palestinian Territories,4.715,2015
108,Bangladesh,4.694,2015
109,Iran,4.686,2015
110,Ukraine,4.681,2015
111,Iraq,4.677,2015
112,South Africa,4.6419999999999995,2015
113,Ghana,4.633,2015
114,Zimbabwe,4.61,2015
115,Liberia,4.571000000000001,2015
116,India,4.565,2015
117,Sudan,4.55,2015
118,Haiti,4.518,2015
119,Congo (Kinshasa),4.5169999999999995,2015
120,Nepal,4.513999999999999,2015
121,Ethiopia,4.512,2015
122,Sierra Leone,4.507,2015
123,Mauritania,4.436,2015
124,Kenya,4.419,2015
125,Djibouti,4.369,2015
126,Armenia,4.35,2015
127,Botswana,4.332,2015
128,Myanmar,4.3069999999999995,2015
129,Georgia,4.297,2015
130,Malawi,4.292,2015
131,Sri Lanka,4.271,2015
132,Cameroon,4.252,2015
133,Bulgaria,4.218,2015
134,Egypt,4.194,2015
135,Yemen,4.077,2015
136,Angola,4.033,2015
137,Mali,3.995,2015
138,Congo (Brazzaville),3.989,2015
139,Comoros,3.9560000000000004,2015
140,Uganda,3.931,2015
141,Senegal,3.904,2015
142,Gabon,3.8960000000000004,2015
143,Niger,3.845,2015
144,Cambodia,3.819,2015
145,Tanzania,3.781,2015
146,Madagascar,3.681,2015
147,Central African Republic,3.678,2015
148,Chad,3.667,2015
149,Guinea,3.656,2015
150,Ivory Coast,3.655,2015
151,Burkina Faso,3.5869999999999997,2015
152,Afghanistan,3.575,2015
153,Rwanda,3.465,2015
154,Benin,3.34,2015
155,Syria,3.0060000000000002,2015
156,Burundi,2.905,2015
157,Togo,2.839,2015
158,Denmark,7.526,2016
159,Switzerland,7.5089999999999995,2016
160,Iceland,7.501,2016
161,Norway,7.497999999999999,2016
162,Finland,7.412999999999999,2016
163,Canada,7.404,2016
164,Netherlands,7.3389999999999995,2016
165,New Zealand,7.334,2016
166,Australia,7.313,2016
167,Sweden,7.291,2016
168,Israel,7.267,2016
169,Austria,7.119,2016
170,United States,7.104,2016
171,Costa Rica,7.087000000000001,2016
172,Puerto Rico,7.039,2016
173,Germany,6.994,2016
174,Brazil,6.952000000000001,2016
175,Belgium,6.928999999999999,2016
176,Ireland,6.907,2016
177,Luxembourg,6.871,2016
178,Mexico,6.778,2016
179,Singapore,6.739,2016
180,United Kingdom,6.725,2016
181,Chile,6.705,2016
182,Panama,6.7010000000000005,2016
183,Argentina,6.65,2016
184,Czech Republic,6.596,2016
185,United Arab Emirates,6.5729999999999995,2016
186,Uruguay,6.545,2016
187,Malta,6.4879999999999995,2016
188,Colombia,6.481,2016
189,France,6.478,2016
190,Thailand,6.474,2016
191,Saudi Arabia,6.379,2016
192,Taiwan,6.379,2016
193,Qatar,6.375,2016
194,Spain,6.361000000000001,2016
195,Algeria,6.355,2016
196,Guatemala,6.324,2016
197,Suriname,6.269,2016
198,Kuwait,6.239,2016
199,Bahrain,6.218,2016
200,Trinidad and Tobago,6.167999999999999,2016
201,Venezuela,6.084,2016
202,Slovakia,6.077999999999999,2016
203,El Salvador,6.068,2016
204,Malaysia,6.005,2016
205,Nicaragua,5.992000000000001,2016
206,Uzbekistan,5.987,2016
207,Italy,5.977,2016
208,Ecuador,5.976,2016
209,Belize,5.956,2016
210,Japan,5.921,2016
211,Kazakhstan,5.919,2016
212,Moldova,5.897,2016
213,Russia,5.856,2016
214,Poland,5.835,2016
215,South Korea,5.835,2016
216,Bolivia,5.822,2016
217,Lithuania,5.813,2016
218,Belarus,5.8020000000000005,2016
219,North Cyprus,5.771,2016
220,Slovenia,5.768,2016
221,Peru,5.742999999999999,2016
222,Turkmenistan,5.6579999999999995,2016
223,Mauritius,5.648,2016
224,Libya,5.615,2016
225,Latvia,5.56,2016
226,Cyprus,5.546,2016
227,Paraguay,5.537999999999999,2016
228,Romania,5.528,2016
229,Estonia,5.517,2016
230,Jamaica,5.51,2016
231,Croatia,5.4879999999999995,2016
232,Hong Kong,5.457999999999999,2016
233,Somalia,5.44,2016
234,Kosovo,5.401,2016
235,Turkey,5.388999999999999,2016
236,Indonesia,5.314,2016
237,Jordan,5.303,2016
238,Azerbaijan,5.291,2016
239,Philippines,5.279,2016
240,China,5.245,2016
241,Bhutan,5.196000000000001,2016
242,Kyrgyzstan,5.185,2016
243,Serbia,5.1770000000000005,2016
244,Bosnia and Herzegovina,5.162999999999999,2016
245,Montenegro,5.1610000000000005,2016
246,Dominican Republic,5.155,2016
247,Morocco,5.151,2016
248,Hungary,5.145,2016
249,Pakistan,5.132000000000001,2016
250,Lebanon,5.129,2016
251,Portugal,5.122999999999999,2016
252,Macedonia,5.121,2016
253,Vietnam,5.061,2016
254,Somaliland Region,5.0569999999999995,2016
255,Tunisia,5.045,2016
256,Greece,5.033,2016
257,Tajikistan,4.996,2016
258,Mongolia,4.907,2016
259,Laos,4.876,2016
260,Nigeria,4.875,2016
261,Honduras,4.871,2016
262,Iran,4.813,2016
263,Zambia,4.795,2016
264,Nepal,4.793,2016
265,Palestinian Territories,4.754,2016
266,Albania,4.655,2016
267,Bangladesh,4.643,2016
268,Sierra Leone,4.635,2016
269,Iraq,4.575,2016
270,Namibia,4.574,2016
271,Cameroon,4.513,2016
272,Ethiopia,4.508,2016
273,South Africa,4.459,2016
274,Sri Lanka,4.415,2016
275,India,4.404,2016
276,Myanmar,4.395,2016
277,Egypt,4.362,2016
278,Armenia,4.36,2016
279,Kenya,4.356,2016
280,Ukraine,4.324,2016
281,Ghana,4.276,2016
282,Congo (Kinshasa),4.272,2016
283,Georgia,4.252,2016
284,Congo (Brazzaville),4.236000000000001,2016
285,Senegal,4.218999999999999,2016
286,Bulgaria,4.217,2016
287,Mauritania,4.2010000000000005,2016
288,Zimbabwe,4.1930000000000005,2016
289,Malawi,4.156000000000001,2016
290,Sudan,4.138999999999999,2016
291,Gabon,4.121,2016
292,Mali,4.073,2016
293,Haiti,4.0280000000000005,2016
294,Botswana,3.9739999999999998,2016
295,Comoros,3.9560000000000004,2016
296,Ivory Coast,3.9160000000000004,2016
297,Cambodia,3.907,2016
298,Angola,3.866,2016
299,Niger,3.8560000000000003,2016
300,South Sudan,3.832,2016
301,Chad,3.763,2016
302,Burkina Faso,3.739,2016
303,Uganda,3.739,2016
304,Yemen,3.7239999999999998,2016
305,Madagascar,3.695,2016
306,Tanzania,3.6660000000000004,2016
307,Liberia,3.622,2016
308,Guinea,3.6069999999999998,2016
309,Rwanda,3.515,2016
310,Benin,3.484,2016
311,Afghanistan,3.36,2016
312,Togo,3.303,2016
313,Syria,3.069,2016
314,Burundi,2.905,2016
315,Norway,7.537000179290769,2017
316,Denmark,7.52199983596802,2017
317,Iceland,7.50400018692017,2017
318,Switzerland,7.49399995803833,2017
319,Finland,7.468999862670901,2017
320,Netherlands,7.3769998550415,2017
321,Canada,7.31599998474121,2017
322,New Zealand,7.31400012969971,2017
323,Sweden,7.28399991989136,2017
324,Australia,7.28399991989136,2017
325,Israel,7.212999820709231,2017
326,Costa Rica,7.0789999961853,2017
327,Austria,7.00600004196167,2017
328,United States,6.993000030517581,2017
329,Ireland,6.9770002365112305,2017
330,Germany,6.9510002136230495,2017
331,Belgium,6.89099979400635,2017
332,Luxembourg,6.86299991607666,2017
333,United Kingdom,6.71400022506714,2017
334,Chile,6.65199995040894,2017
335,United Arab Emirates,6.6479997634887695,2017
336,Brazil,6.6350002288818395,2017
337,Czech Republic,6.60900020599365,2017
338,Argentina,6.59899997711182,2017
339,Mexico,6.57800006866455,2017
340,Singapore,6.57200002670288,2017
341,Malta,6.52699995040894,2017
342,Uruguay,6.4539999961853,2017
343,Guatemala,6.4539999961853,2017
344,Panama,6.4520001411438,2017
345,France,6.44199991226196,2017
346,Thailand,6.4239997863769505,2017
347,Taiwan Province of China,6.42199993133545,2017
348,Spain,6.40299987792969,2017
349,Qatar,6.375,2017
350,Colombia,6.35699987411499,2017
351,Saudi Arabia,6.343999862670901,2017
352,Trinidad and Tobago,6.1680002212524405,2017
353,Kuwait,6.10500001907349,2017
354,Slovakia,6.09800004959106,2017
355,Bahrain,6.08699989318848,2017
356,Malaysia,6.08400011062622,2017
357,Nicaragua,6.07100009918213,2017
358,Ecuador,6.00799989700317,2017
359,El Salvador,6.002999782562259,2017
360,Poland,5.97300004959106,2017
361,Uzbekistan,5.97100019454956,2017
362,Italy,5.96400022506714,2017
363,Russia,5.962999820709231,2017
364,Belize,5.955999851226809,2017
365,Japan,5.92000007629395,2017
366,Lithuania,5.90199995040894,2017
367,Algeria,5.872000217437741,2017
368,Latvia,5.849999904632571,2017
369,South Korea,5.837999820709231,2017
370,Moldova,5.837999820709231,2017
